"";"provincia";"sesso";"classe_eta";"popolazione_2018";"popolazione_2019"
"369";"Ascoli Piceno";"maschi";"80-84 anni";3765;3903
"370";"Ascoli Piceno";"maschi";"85-89 anni";2174;2208
"371";"Ascoli Piceno";"maschi";"90-94 anni";779;869
"372";"Ascoli Piceno";"maschi";"95-99 anni";157;152
"373";"Ascoli Piceno";"maschi";"fino a 4 anni";3721;3522
"374";"Ascoli Piceno";"maschi";"totale";100496;99998
"375";"Ascoli Piceno";"totale";"10-14 anni";8971;8851
"376";"Ascoli Piceno";"totale";"100 anni e più";54;62
"377";"Ascoli Piceno";"totale";"15-19 anni";9232;9160
"378";"Ascoli Piceno";"totale";"20-24 anni";10117;10041
"379";"Ascoli Piceno";"totale";"25-29 anni";10873;10588
"380";"Ascoli Piceno";"totale";"30-34 anni";11163;11062
"381";"Ascoli Piceno";"totale";"35-39 anni";12088;11785
"382";"Ascoli Piceno";"totale";"40-44 anni";14254;13696
"383";"Ascoli Piceno";"totale";"45-49 anni";16020;15791
"384";"Ascoli Piceno";"totale";"5-9 anni";8368;8303
"385";"Ascoli Piceno";"totale";"50-54 anni";16990;16677
"386";"Ascoli Piceno";"totale";"55-59 anni";15599;16144
"387";"Ascoli Piceno";"totale";"60-64 anni";14061;14351
"388";"Ascoli Piceno";"totale";"65-69 anni";12746;12795
"389";"Ascoli Piceno";"totale";"70-74 anni";11341;11872
"390";"Ascoli Piceno";"totale";"75-79 anni";10355;9828
"391";"Ascoli Piceno";"totale";"80-84 anni";8822;9089
"392";"Ascoli Piceno";"totale";"85-89 anni";5692;5775
"393";"Ascoli Piceno";"totale";"90-94 anni";2617;2687
"394";"Ascoli Piceno";"totale";"95-99 anni";640;665
"395";"Ascoli Piceno";"totale";"fino a 4 anni";7306;6950
"396";"Ascoli Piceno";"totale";"totale";207309;206172
"397";"Asti";"femmine";"10-14 anni";4526;4516
"398";"Asti";"femmine";"100 anni e più";58;52
"399";"Asti";"femmine";"15-19 anni";4617;4595
"400";"Asti";"femmine";"20-24 anni";4605;4643
"401";"Asti";"femmine";"25-29 anni";4762;4751
"402";"Asti";"femmine";"30-34 anni";5226;5127
"403";"Asti";"femmine";"35-39 anni";5860;5686
"404";"Asti";"femmine";"40-44 anni";7396;6991
"405";"Asti";"femmine";"45-49 anni";8275;8131
"406";"Asti";"femmine";"5-9 anni";4282;4166
"407";"Asti";"femmine";"50-54 anni";8753;8716
"408";"Asti";"femmine";"55-59 anni";8031;8305
"409";"Asti";"femmine";"60-64 anni";7350;7396
"410";"Asti";"femmine";"65-69 anni";7046;6911
"411";"Asti";"femmine";"70-74 anni";6576;6922
"412";"Asti";"femmine";"75-79 anni";5878;5587
"413";"Asti";"femmine";"80-84 anni";5295;5460
"414";"Asti";"femmine";"85-89 anni";3999;3868
"415";"Asti";"femmine";"90-94 anni";2027;2062
"416";"Asti";"femmine";"95-99 anni";595;624
"417";"Asti";"femmine";"fino a 4 anni";3772;3588
"418";"Asti";"femmine";"totale";108929;108097
"419";"Asti";"maschi";"10-14 anni";4912;4882
"420";"Asti";"maschi";"100 anni e più";12;14
"421";"Asti";"maschi";"15-19 anni";4886;4857
"422";"Asti";"maschi";"20-24 anni";5234;5265
"423";"Asti";"maschi";"25-29 anni";5263;5194
"424";"Asti";"maschi";"30-34 anni";5319;5271
"425";"Asti";"maschi";"35-39 anni";5822;5635
"426";"Asti";"maschi";"40-44 anni";7507;7074
"427";"Asti";"maschi";"45-49 anni";8477;8306
"428";"Asti";"maschi";"5-9 anni";4601;4469
"429";"Asti";"maschi";"50-54 anni";8785;8821
"430";"Asti";"maschi";"55-59 anni";7980;8153
"431";"Asti";"maschi";"60-64 anni";7157;7292
"432";"Asti";"maschi";"65-69 anni";6668;6651
"433";"Asti";"maschi";"70-74 anni";6134;6359
"434";"Asti";"maschi";"75-79 anni";4807;4724
"435";"Asti";"maschi";"80-84 anni";3891;3906
"436";"Asti";"maschi";"85-89 anni";2253;2260
"437";"Asti";"maschi";"90-94 anni";820;857
"438";"Asti";"maschi";"95-99 anni";155;167
"439";"Asti";"maschi";"fino a 4 anni";3892;3756
"440";"Asti";"maschi";"totale";104575;103913
"441";"Asti";"totale";"10-14 anni";9438;9398
"442";"Asti";"totale";"100 anni e più";70;66
"443";"Asti";"totale";"15-19 anni";9503;9452
"444";"Asti";"totale";"20-24 anni";9839;9908
"445";"Asti";"totale";"25-29 anni";10025;9945
"446";"Asti";"totale";"30-34 anni";10545;10398
"447";"Asti";"totale";"35-39 anni";11682;11321
"448";"Asti";"totale";"40-44 anni";14903;14065
"449";"Asti";"totale";"45-49 anni";16752;16437
"450";"Asti";"totale";"5-9 anni";8883;8635
"451";"Asti";"totale";"50-54 anni";17538;17537
"452";"Asti";"totale";"55-59 anni";16011;16458
"453";"Asti";"totale";"60-64 anni";14507;14688
"454";"Asti";"totale";"65-69 anni";13714;13562
"455";"Asti";"totale";"70-74 anni";12710;13281
"456";"Asti";"totale";"75-79 anni";10685;10311
"457";"Asti";"totale";"80-84 anni";9186;9366
"458";"Asti";"totale";"85-89 anni";6252;6128
"459";"Asti";"totale";"90-94 anni";2847;2919
"460";"Asti";"totale";"95-99 anni";750;791
"461";"Asti";"totale";"fino a 4 anni";7664;7344
"462";"Asti";"totale";"totale";213504;212010
"463";"Avellino";"femmine";"10-14 anni";9165;8973
"464";"Avellino";"femmine";"100 anni e più";72;83
"465";"Avellino";"femmine";"15-19 anni";10039;9909
"466";"Avellino";"femmine";"20-24 anni";10946;10722
"467";"Avellino";"femmine";"25-29 anni";12228;11803
"468";"Avellino";"femmine";"30-34 anni";12297;12058
"469";"Avellino";"femmine";"35-39 anni";12369;12219
"470";"Avellino";"femmine";"40-44 anni";14577;14071
"471";"Avellino";"femmine";"45-49 anni";15862;15573
"472";"Avellino";"femmine";"5-9 anni";8239;7933
"473";"Avellino";"femmine";"50-54 anni";17203;16834
"474";"Avellino";"femmine";"55-59 anni";16100;16549
"475";"Avellino";"femmine";"60-64 anni";13685;14088
"476";"Avellino";"femmine";"65-69 anni";12113;12305
"477";"Avellino";"femmine";"70-74 anni";10587;11130
"478";"Avellino";"femmine";"75-79 anni";9130;8618
"479";"Avellino";"femmine";"80-84 anni";8430;8557
"480";"Avellino";"femmine";"85-89 anni";6368;6295
"481";"Avellino";"femmine";"90-94 anni";3034;3119
"482";"Avellino";"femmine";"95-99 anni";812;863
